wave number,-5_1,-5_2,-5_3,-5_4,-5_5,-5_6,-5_7,-5_8,-7_1,-7_2,-7_3,-8_1,-8_2,-8_3,-8_4,-9_1,-9_2,-9_3,-9_4,-10_1,-10_2,-10_3
380.353,11820,12372,10128,44968,14312,14760,23452,15342,8276,13664,14742,20270,24580,12782,14860,25484,12018,12888,21158,6498,23908,9728
382.133,11690,12186,10318,44854,14302,14712,23410,15270,8264,13546,14678,20178,24622,12868,14688,25344,11986,12850,20950,6502,23864,9660
383.913,11940,12304,10136,44960,14208,14708,23500,15410,8140,13492,14672,20072,24534,12744,14874,25272,11944,12892,21054,6504,24034,9752
385.692,11896,12242,10110,44582,14116,14658,23392,15316,8300,13596,14738,20146,24690,12708,14686,25148,12042,12980,21142,6404,23812,9548
387.47,11938,12146,9970,44466,14302,14738,23570,15216,8306,13690,14754,20298,24690,12940,14706,25394,11918,12960,20894,6340,23966,9690
389.249,11958,12088,10082,44108,14414,14856,23300,15140,8198,13520,14760,20318,24568,12788,14730,25186,11916,12996,21070,6338,23872,9664
391.027,11872,12148,10068,43736,14230,14736,23240,15198,8084,13714,14838,20078,24596,12942,14830,25390,11960,12828,21218,6424,23802,9562
392.804,11758,12206,10130,43770,14196,14608,23122,15226,8184,13518,14658,20332,24560,13012,14736,25272,11912,12758,21046,6320,23784,9790
394.582,11684,12388,10110,43572,14264,14930,23228,15242,8156,13568,14586,20108,24670,12746,14834,25332,11864,13062,20894,6458,23810,9544
396.359,11790,12326,10150,43152,14292,14838,23220,15172,8200,13584,14684,20130,24662,12920,14644,25180,11986,12944,21098,6370,23984,9730
398.135,11802,12284,10100,42518,14238,14882,23398,15222,8212,13536,14714,20206,24448,12918,14626,25256,12000,12910,21234,6388,23710,9702
399.912,12022,12340,10114,42502,14256,14722,23378,15436,8254,13712,14890,20228,24676,12944,14706,25264,11972,12884,21156,6494,23906,9718
401.688,11860,12274,10104,42240,14246,14852,23466,15334,8234,13556,14782,20374,24828,12922,14826,25320,12152,12964,21120,6342,24008,9656
403.463,11920,12284,10178,41814,14294,14868,23324,15388,8326,13532,14676,20326,24868,12986,14768,25408,11878,13012,21202,6414,24006,9716
405.239,11916,12240,10132,41560,14374,14830,23678,15338,8322,13794,14686,20514,24742,12978,14742,25464,12138,13010,21268,6456,24316,9746
407.014,12012,12322,10210,41248,14346,14818,23530,15456,8194,13718,14800,20428,24760,13026,14842,25844,12072,13096,21118,6372,24018,9786
408.788,12016,12400,10224,41010,14520,15024,23536,15618,8352,13846,14868,20618,25118,12932,14824,25574,12154,13044,21248,6368,24220,9812
410.562,12106,12512,10326,40540,14526,15100,23680,15514,8472,13754,14956,20560,24956,13190,14752,25600,12250,13180,21374,6514,24254,9856
412.336,12036,12560,10334,40606,14308,15188,23712,15518,8334,13806,14922,20530,25200,13028,14940,25904,12260,13216,21572,6574,24414,9960
414.11,12158,12560,10326,40038,14596,15140,23844,15702,8446,13870,15038,20516,25038,13210,15080,26044,12386,13088,21608,6570,24324,9904
415.883,12040,12498,10346,39980,14506,15344,23888,15876,8424,14110,15006,21022,25290,13248,15032,25948,12364,13358,21596,6490,24576,9820
417.656,12072,12624,10472,39612,14540,15144,23988,15824,8438,14126,15106,20818,25342,13268,15126,26032,12390,13310,21666,6636,24644,10016
419.428,12152,12650,10454,39022,14788,15258,24022,15880,8458,14094,14986,20938,25586,13328,15194,26278,12384,13374,21788,6646,24620,10050
421.201,12298,12538,10448,38794,14834,15342,24024,15960,8394,14266,15160,20954,25692,13370,15228,26348,12556,13392,21764,6582,24822,10090
422.973,12328,12724,10496,38402,14766,15514,24276,16036,8610,14330,15144,21050,25742,13338,15396,26546,12620,13446,21894,6654,25036,9952
424.742,12338,12732,10480,38216,14820,15400,24400,16052,8516,14282,15194,21160,25668,13432,15210,26434,12572,13484,21960,6632,25118,10020
426.513,12360,12840,10648,37902,14900,15630,24468,16122,8622,14296,15384,21172,26024,13308,15304,26780,12470,13588,22126,6758,25054,10066
428.284,12378,12760,10478,37732,14936,15470,24472,16278,8452,14390,15362,21532,25930,13546,15298,26644,12606,13540,22254,6682,25230,10152
430.054,12376,13004,10588,37078,15008,15618,24286,16070,8586,14372,15368,21320,25708,13484,15454,26690,12746,13704,22150,6760,25156,10124
431.825,12488,12898,10644,37094,15024,15694,24596,16238,8686,14476,15408,21322,25890,13474,15630,26518,12618,13728,22196,6790,25358,10156
433.594,12336,12868,10610,36554,15004,15708,24702,16278,8578,14538,15464,21418,25942,13672,15530,26830,12642,13518,22038,6756,25504,10224
435.364,12542,12932,10762,36080,14996,15678,24782,16292,8694,14514,15504,21354,26202,13588,15536,27072,12712,13704,22380,6780,25516,10112
437.133,12424,12998,10736,35890,15174,15650,24814,16300,8662,14536,15536,21604,25956,13646,15520,26964,12708,13750,22284,6772,25608,10124
438.9,12480,13028,10678,35790,14940,15702,24644,16488,8658,14664,15532,21466,26176,13786,15456,26836,12664,13722,22414,6820,25490,10286
