wave number,-5_1,-5_2,-5_3,-5_4,-5_5,-5_6,-5_7,-5_8,-7_1,-7_2,-7_3,-8_1,-8_2,-8_3,-8_4,-9_1,-9_2,-9_3,-9_4,-10_1,-10_2,-10_3
619.174,13600,13966,11290,18838,16344,17322,27442,18196,9076,16142,16524,23580,28820,14758,16884,29730,13698,14936,24672,6914,28216,10806
620.906,13602,13842,11268,18746,16350,17268,27462,18262,9140,16308,16496,23700,28630,14892,16620,29856,13684,15064,24782,6798,28200,10818
622.638,13704,13914,11276,18864,16598,17204,27376,18262,9108,16354,16592,23796,28728,14984,16860,29922,13888,15126,24794,6812,28400,10762
624.371,13806,13900,11338,18798,16566,17430,27586,18366,9188,16330,16726,23998,28930,14962,16928,30116,13776,15276,24724,6836,28366,10638
626.102,13670,13972,11456,18798,16510,17448,27382,18400,9130,16456,16818,23778,29028,14916,16768,30122,13878,15214,24928,6934,28376,10796
627.832,13616,14004,11442,18628,16598,17256,27626,18390,9240,16362,16738,23994,28874,14942,16698,29954,13904,15124,24986,6954,28280,10728
629.562,13730,14040,11440,18638,16446,17282,27796,18640,9128,16408,16652,23902,28998,14902,16920,30054,13880,15214,25016,6912,28522,10752
631.292,13740,14186,11382,18540,16656,17480,27534,18448,9186,16400,16696,24168,29326,15050,16950,30262,14040,15162,25086,7018,28576,10774
633.022,13932,14010,11372,18618,16664,17554,27594,18622,9090,16608,17000,24108,29190,14856,16904,30120,13992,15232,25268,6998,28482,10742
634.751,13856,14178,11460,18356,16696,17376,27720,18488,9334,16632,16804,24180,29124,15074,16950,30346,13842,15184,25204,6878,28598,10848
636.48,13834,14182,11376,18452,16632,17458,27730,18428,9258,16510,16820,24218,29352,15138,16844,30246,14064,15090,25116,6970,28738,10886
638.209,13754,14192,11522,18444,16738,17480,28026,18744,9132,16628,16758,24180,29376,15012,17112,30410,13994,15444,25188,6894,28714,10808
639.937,13828,14152,11376,18372,16804,17416,28086,18634,9264,16554,16862,24260,29404,14998,17246,30458,14066,15362,25384,6922,28800,10902
641.667,13840,14088,11422,18252,16908,17618,27912,18674,9190,16594,16718,24298,29354,15136,17166,30474,13990,15416,25438,6960,28716,10914
643.394,13862,14196,11494,18274,16888,17904,28092,18720,9334,16740,16924,24384,29354,15096,17386,30498,13972,15328,25246,7020,28872,10840
645.122,13904,14296,11498,18144,16790,17736,28098,18870,9316,16760,16954,24320,29612,15362,17246,30746,14106,15496,25238,6920,28928,10926
646.849,13982,14322,11598,17982,16928,17624,27994,18884,9330,16770,16936,24412,29392,15166,17188,30682,14098,15560,25438,7034,28962,10948
648.575,13932,14294,11590,18098,17016,17826,28064,18954,9366,16776,16848,24470,29546,15146,17248,30494,14038,15526,25414,7048,29094,10816
650.301,13972,14094,11484,17842,16894,17686,28218,18882,9334,16722,16874,24490,29644,15128,17168,30800,14210,15508,25456,6978,29038,10998
652.027,13986,14306,11624,18018,16814,17748,28148,19006,9430,16954,16922,24494,29476,15180,17208,30534,14280,15524,25384,6964,28994,10834
653.753,13914,14346,11538,17802,17038,17788,28266,18872,9328,16972,16888,24420,29632,15290,17266,30976,14112,15476,25674,7054,28946,10978
655.478,13960,14210,11570,17860,17096,17724,28206,19050,9362,16904,16926,24618,29720,15188,17284,30678,14084,15582,25688,6944,29290,10926
657.203,13938,14314,11492,17810,16974,17950,28526,18866,9360,16960,16982,24678,29404,15174,17354,30838,14154,15422,25612,7072,29314,10978
658.928,13936,14300,11606,17794,17026,17744,28106,18912,9398,16984,16782,24550,29560,15244,17382,30926,14264,15510,25600,7040,29328,10906
660.652,14112,14254,11672,17686,17086,17828,28432,18980,9360,16944,16884,24626,29698,15304,17386,30954,14156,15530,25524,7062,29160,10964
662.376,14122,14268,11658,17614,17018,17840,28126,19036,9294,16812,16900,24558,29754,15174,17194,30854,14312,15646,25642,6988,29148,11032
664.1,13948,14356,11628,17604,17056,17816,28332,19118,9384,16960,17058,24462,29786,15310,17496,30946,14184,15692,25694,7016,29200,10982
665.823,13956,14304,11648,17610,16942,17644,28096,19080,9422,16820,16976,24584,29602,15204,17314,31016,14280,15600,25866,7044,29370,10890
667.546,14162,14186,11558,17706,16926,17948,28288,19002,9344,16908,16946,24618,29752,15270,17328,30868,14172,15580,25660,7026,29164,10976
669.269,14076,14174,11588,17516,17122,17872,28262,19006,9244,16930,17014,24522,29830,15304,17376,30870,14156,15620,25586,7150,29312,11000
670.991,14008,14358,11508,17498,16916,17880,28230,18980,9454,16878,16994,24586,29688,15208,17336,30956,14348,15742,25568,6932,29054,10934
672.713,14108,14188,11644,17458,16962,17806,28336,19024,9322,16900,16860,24646,30042,15262,17364,30968,14160,15560,25600,7124,29170,10892
674.433,13980,14266,11592,17452,17024,17898,28306,18850,9302,17032,16960,24660,29720,15224,17298,30968,14080,15632,25664,7078,29222,11028
676.154,14108,14152,11528,17140,16870,17972,28408,19010,9388,16896,16952,24484,29696,15454,17212,30716,14222,15520,25742,6928,29242,10922
677.875,14152,14276,11498,17326,17096,17892,28428,18934,9358,16950,16946,24702,29840,15432,17272,31206,14188,15492,25538,7084,29026,10902
679.596,14032,14328,11470,17290,17162,17712,28368,18992,9266,16898,16858,24538,29814,15172,17386,30884,14440,15594,25572,7042,29240,10880
681.316,13970,14354,11630,17288,17096,17622,28358,19220,9240,17054,17086,24572,29926,15348,17256,31064,14154,15670,25674,6990,29262,10968
683.036,14026,14414,11566,17118,16984,17946,28350,19194,9254,17066,16828,24770,29842,15332,17428,30964,14116,15616,25588,7050,29378,10958
684.756,14030,14294,11654,17166,17078,17734,28380,19014,9306,16890,16908,24700,29802,15258,17156,31050,14342,15788,25670,6904,29242,10990
686.475,14104,14234,11528,16956,16988,18102,28342,19138,9364,17030,16974,24558,29722,15400,17144,31022,14124,15666,25516,7072,29224,10964
688.194,14102,14394,11478,17016,17060,17832,28428,18910,9320,16866,16784,24754,29666,15384,17370,30994,14030,15466,25802,7110,29378,10746
689.913,13972,14272,11708,16938,17112,17786,28402,19072,9318,16872,16846,24808,29606,15358,17356,30970,13978,15582,25892,7080,29386,10918
691.629,14280,14246,11648,17042,17050,17796,28526,19122,9430,17060,16960,24688,29878,15268,17398,30852,14186,15638,25856,6886,29312,11106
693.348,14108,14350,11564,16956,17100,17898,28436,19242,9390,17010,17130,24670,29770,15380,17354,30802,14192,15576,25900,6970,29282,10910
695.065,14100,14362,11496,16892,17166,17814,28326,19134,9300,17228,16968,24906,29968,15408,17360,30922,14232,15700,25740,6988,29406,10992
696.783,13998,14388,11584,16888,17062,17906,28588,19286,9448,17240,17000,24720,29830,15526,17418,31242,14170,15606,26016,7054,29402,11096
698.5,14202,14304,11662,16868,17186,17968,28612,19158,9404,17202,16918,24764,29950,15354,17402,31020,14156,15760,25956,6994,29220,10894
700.217,14218,14284,11488,16678,17038,18072,28472,19214,9306,17044,17036,24944,30014,15336,17226,31076,14324,15708,25912,6916,29400,10918
701.933,14232,14450,11614,16722,17178,17946,28824,19258,9404,17096,16994,24824,30170,15456,17492,31544,14256,15806,25828,7088,29684,10970
703.647,14104,14384,11722,16764,17114,18008,28822,19352,9360,17184,17060,24890,30032,15356,17550,31232,14238,15996,25968,7016,29704,10956
705.363,14236,14396,11688,16810,17204,18086,28774,19396,9520,17184,17044,24942,30276,15482,17546,31358,14320,15830,26024,7012,29646,11048
707.078,14274,14342,11596,16564,17170,18142,28956,19432,9470,17270,17136,24908,30048,15384,17550,31434,14434,15892,26054,7058,29810,11050
708.794,14248,14538,11684,16544,17260,18128,28622,19334,9558,17212,17102,24786,30140,15538,17642,31668,14394,15842,26090,6924,29848,11072
710.508,14270,14440,11722,16516,17310,18054,28640,19528,9386,17248,17028,25130,30278,15518,17620,31536,14394,15786,26272,7030,29698,10994
712.221,14412,14518,11718,16346,17190,18218,28686,19444,9518,17392,17126,25134,30146,15582,17552,31596,14468,15864,26130,6994,29990,11124
713.935,14394,14458,11886,16588,17276,18328,28928,19632,9632,17470,17030,25044,30362,15690,17664,31628,14520,15732,26320,7086,30082,11036
715.649,14294,14524,11828,16480,17370,18290,29018,19526,9588,17570,17034,25296,30430,15652,17836,31746,14494,15948,26210,7072,30032,11120
717.363,14342,14630,11970,16422,17374,18328,28794,19680,9558,17488,17102,25470,30490,15760,17718,31542,14414,15964,26432,7104,30164,11240
719.074,14438,14646,11926,16436,17274,18152,29010,19734,9518,17474,17098,25200,30528,15664,17826,31694,14528,16026,26378,7120,30142,11158
720.787,14282,14500,11854,16302,17348,18346,29016,19494,9604,17546,17244,25436,30548,15686,17690,31798,14552,15972,26334,7190,30014,11176
722.499,14388,14736,11794,16298,17430,18280,29024,19776,9572,17682,17258,25408,30766,15898,17862,32070,14578,16092,26156,7156,29994,11090
724.211,14552,14594,11788,16328,17456,18226,29146,19702,9482,17574,17178,25402,30680,15682,17804,31926,14604,15960,26418,7120,30250,11224
725.921,14546,14712,11670,16254,17626,18452,29122,19638,9554,17706,17488,25594,30664,15762,17804,31958,14816,16198,26606,7182,30456,11198
727.633,14428,14594,12048,16196,17630,18546,29558,19822,9582,17588,17492,25488,30954,15738,17940,32194,14616,16200,26592,7058,30382,11162
729.344,14574,14840,11968,16320,17400,18322,29396,19740,9534,17674,17364,25498,30762,15794,17912,32046,14614,16210,26670,7214,30252,11220
731.053,14666,14798,11880,16028,17506,18616,29262,19894,9642,17922,17412,25408,30874,15822,18072,31940,14742,16236,26798,7076,30380,11334
732.764,14450,14726,11936,16008,17720,18494,29292,19912,9628,17780,17274,25692,30782,15850,18094,32184,14736,16116,26830,7234,30620,11224
734.474,14570,14816,11974,16022,17576,18494,29472,19886,9696,17896,17372,25574,30940,15976,17846,32104,14764,16222,26618,7080,30450,11136
736.184,14538,14744,12006,16006,17686,18654,29518,19870,9690,17778,17304,25708,30890,15824,17856,32028,14700,15996,26624,7216,30482,11136
737.892,14492,14740,11900,16014,17616,18590,29640,20044,9770,17816,17500,25578,31106,16012,18012,32120,14778,16212,26842,7250,30338,11226
739.601,14588,14798,11960,15808,17654,18666,29530,20066,9678,17906,17448,25846,30980,15806,18036,31988,14590,16088,26798,7100,30766,11208
741.31,14690,14870,12006,15972,17904,18586,29224,20012,9816,17890,17366,25744,31010,15936,17940,32310,14654,16250,26756,7194,30478,11292
743.017,14464,14820,11954,15882,17684,18618,29524,20048,9538,18028,17454,25688,31030,15838,18032,32372,14894,16314,26670,7258,30584,11186
744.725,14536,14892,11986,15934,17832,18506,29618,19982,9538,17804,17364,25684,31016,15844,17990,32406,14706,16350,26828,7178,30624,11252
746.431,14446,14658,11932,15860,17586,18638,29486,20032,9666,17876,17406,25842,31146,15892,17988,32332,14810,16154,26794,7214,30488,11124
748.139,14536,14780,11932,15708,17744,18578,29586,20018,9580,17912,17286,25784,30964,15788,17976,32306,14712,16204,26708,7256,30488,11346
749.846,14708,14854,11944,15674,17578,18464,29492,20260,9676,17978,17360,25866,31072,15896,18028,32430,14696,16280,26708,7232,30476,11156
751.551,14598,14812,11962,15718,17686,18544,29502,20088,9836,17794,17314,25714,30768,15892,17956,32454,14660,16364,26722,7284,30364,11112
753.258,14584,14786,11994,15770,17516,18596,29452,20164,9556,17868,17370,25674,30738,15916,18060,32172,14786,16260,26818,7188,30466,11214
754.964,14684,14824,11878,15660,17704,18338,29458,20086,9708,17886,17392,25498,30980,16064,17954,32432,14538,16336,26566,7082,30444,11250
756.668,14452,14828,11822,15670,17566,18322,29562,20070,9602,17930,17348,25534,30896,15932,17944,32306,14792,16208,26622,7186,30490,11176
758.374,14552,14808,11986,15618,17758,18744,29444,20094,9576,17880,17278,25712,31010,15812,17854,32336,14632,16188,26764,7222,30414,11088
760.078,14520,14732,11992,15632,17688,18806,29400,20084,9570,18020,17216,25752,30882,15970,17852,32286,14882,16324,26848,7180,30386,11184
761.783,14702,14746,11944,15608,17600,18716,29338,20170,9626,17876,17288,25666,30848,16054,18010,32262,14714,16272,26724,7070,30508,11262
763.488,14512,14664,11890,15620,17580,18582,29430,20258,9622,17780,17412,25664,30918,15730,17808,32168,14590,16204,26916,7128,30368,11202
765.19,14528,14836,11894,15574,17590,18662,29756,20180,9494,17956,17340,25728,31314,15858,17844,32412,14642,16334,26894,7210,30570,11252
766.894,14552,14734,11912,15398,17646,18594,29520,19994,9652,18086,17268,25790,30904,15650,17880,32206,14784,16350,26736,7216,30646,11256
768.596,14518,14806,11904,15576,17686,18544,29668,20022,9622,17944,17424,25596,30854,15958,17972,32442,14820,16320,26704,7072,30614,11064
770.3,14424,14686,11822,15322,17608,18560,29520,20014,9608,17946,17260,25582,31214,15852,17902,32234,14708,16326,26820,7174,30540,11250
772.001,14594,14722,11858,15502,17666,18546,29500,20144,9554,17896,17190,25534,30842,15864,17872,32312,14748,16196,26848,7124,30246,11042
773.704,14620,14818,11940,15412,17804,18510,29574,20114,9498,17874,17218,25686,30848,15742,17778,32290,14708,16158,26846,7092,30326,11152
775.404,14630,14826,11756,15448,17842,18538,29326,20134,9704,17896,17384,25562,30886,15894,17918,32484,14776,16214,26842,7208,30694,11044
777.106,14558,14820,11910,15390,17778,18768,29460,20206,9588,18138,17282,25652,31012,15914,18190,32358,14872,16348,26784,7140,30512,11104
778.806,14548,14824,11676,15152,17722,18660,29660,20146,9614,18064,17328,25640,30838,16074,17808,32494,14784,16246,27046,7134,30658,11200
780.508,14574,14812,11786,15326,17578,18534,29790,20162,9814,18018,17294,25760,31032,16030,17976,32298,14676,16136,26870,7196,30546,11144
782.207,14694,14954,11956,15406,17740,18688,29582,20416,9548,18064,17470,25770,31278,15820,18076,32616,14682,16330,26772,7192,30650,11104
783.908,14598,14866,12018,15486,17840,18750,29578,20374,9706,18086,17274,25966,30956,15978,17950,32600,14826,16500,26874,7056,30604,11186
785.607,14388,14782,11972,15348,17732,18822,29638,20238,9766,17958,17416,25916,31094,15950,18150,32580,14692,16510,26974,7182,30642,11254
787.307,14696,14916,12044,15252,17648,18636,29738,20314,9586,18278,17452,25734,31016,15902,18060,32550,14808,16438,27026,7214,30804,11264
789.005,14688,14944,11938,15126,17782,18620,29848,20174,9666,18244,17520,26152,31050,15988,18006,32706,14896,16292,27004,7248,30710,11136
790.705,14730,14768,11976,15148,17930,18884,29758,20412,9698,18318,17486,26004,31314,16154,18158,32634,14782,16448,27130,7232,30834,11244
792.402,14746,14908,11972,15144,17918,18700,29876,20336,9696,18238,17430,25990,31220,16086,18106,32816,14968,16444,27128,7278,30688,11210
794.101,14702,14966,12068,15226,17968,18712,29960,20626,9734,18298,17388,26282,31334,16240,18126,32612,14890,16506,27342,7254,30834,11310
795.798,14818,15008,11852,15176,18202,18950,30066,20516,9888,18236,17472,26172,31506,16282,18312,32960,14942,16522,26988,7296,30870,11272
797.494,15008,14904,12060,15168,18022,18920,30006,20624,9792,18308,17420,26210,31428,16184,18214,32870,15070,16464,27258,7204,31252,11298
799.192,14920,15056,12010,15152,17970,18942,30006,20558,9900,18370,17484,26366,31612,16178,18388,33138,14986,16726,27148,7256,31362,11230
800.888,14888,14994,12176,15146,18120,19100,30186,20768,9836,18416,17616,26286,31640,16192,18412,33020,15110,16652,27396,7326,31376,11282
802.585,14772,15018,12048,15106,17820,18944,30186,20602,9776,18506,17668,26340,31694,16124,18456,33532,15064,16706,27278,7396,31146,11296
804.28,14998,14996,12158,15032,17960,19028,30002,20730,9914,18812,17682,26498,31576,16224,18282,32998,14920,16618,27464,7392,31558,11394
805.975,14902,15170,12268,14984,18202,19214,30112,20922,9930,18586,17706,26584,31670,16420,18374,33522,15146,16750,27208,7280,31362,11322
807.672,15020,15060,12100,14966,18330,19052,30146,20832,9868,18640,17586,26218,31848,16482,18492,33344,15246,16796,27682,7360,31302,11274
809.366,15038,15156,12294,15066,18184,19182,30424,20838,9854,18648,17754,26582,31918,16448,18602,33150,15068,16790,27702,7328,31378,11348
811.062,15068,15134,12144,14988,18214,19246,30750,20860,9758,18746,17782,26722,31882,16446,18592,33404,15168,16934,27518,7256,31558,11472
812.755,15004,15260,12238,14966,18150,19286,30428,21044,9928,18704,17752,26480,32068,16412,18424,33580,15388,16722,27904,7362,31638,11442
814.448,15006,15126,12290,15170,18302,19226,30434,21192,9924,18938,17838,26664,31952,16580,18618,33464,15290,16822,27800,7392,31514,11402
816.143,15022,15322,12262,14968,18246,19140,30488,20982,9912,18792,17762,26936,32122,16488,18494,33242,15242,16866,27830,7306,31762,11386
817.836,14928,15330,12236,14850,18310,19242,30726,21094,9916,18682,17868,26666,32196,16418,18670,33648,15310,16990,27624,7512,31500,11240
819.528,15082,15198,12208,14848,18232,19384,30650,21160,9942,18834,17694,26694,32148,16472,18578,33662,15378,16746,27722,7346,31622,11394
821.222,15188,15220,12240,14848,18434,19242,30554,21136,9922,18688,17658,26888,32134,16602,18600,33714,15356,16896,27816,7322,31882,11516
822.914,15040,15414,12320,14686,18318,19264,30564,21078,9892,18854,17880,26786,32170,16484,18728,33714,15302,16904,27740,7340,31688,11584
824.605,15162,15170,12434,14786,18184,19440,30734,21404,9888,18782,17860,26718,32154,16396,18520,33656,15306,16938,27746,7342,31768,11456
826.298,15110,15288,12200,14756,18204,19596,30760,21264,9948,18872,17794,26590,32028,16602,18836,33684,15362,17028,28204,7390,31772,11442
827.988,14884,15258,12402,14832,18342,19288,30852,21132,9860,18822,17770,26806,32096,16570,18640,33780,15352,16856,28004,7418,31948,11446
829.679,15086,15220,12178,14820,18328,19352,30826,21020,9900,18784,17794,26686,32242,16710,18596,33672,15370,16792,27854,7304,31728,11466
831.371,15308,15328,12384,14430,18318,19384,30648,21082,9948,18700,17900,26720,32294,16594,18788,33684,15194,16874,27960,7372,31774,11476
833.06,15058,15376,12458,14702,18518,19224,30672,21186,9832,18668,17958,26772,32434,16356,18808,33794,15374,17082,27774,7452,31738,11418
834.75,15124,15214,12318,14678,18224,19308,30714,21140,10016,18894,17900,26816,32080,16378,18640,33592,15258,16926,27918,7496,31786,11502
836.439,15206,15406,12442,14584,18284,19370,30522,21072,10060,18826,17756,26776,32140,16440,18738,33882,15370,16918,28012,7406,31748,11462
838.13,15238,15308,12336,14654,18324,19296,30700,21132,9954,18854,17718,26734,32064,16414,18722,33836,15438,16902,28048,7378,31942,11376
839.818,15138,15122,12190,14642,18232,19434,30772,21154,10040,18790,17986,26600,32078,16656,18534,33580,15262,16994,27972,7348,31566,11324
841.506,15154,15328,12278,14494,18386,19352,30782,21408,9948,18824,17766,26602,32202,16620,18684,33630,15242,16884,28040,7390,31734,11374
843.194,15050,15256,12248,14618,18428,19234,30668,21244,9942,18850,17728,26682,32168,16556,18582,33688,15406,16962,27890,7294,31922,11504
844.883,15056,15296,12208,14478,18500,19344,30888,21142,9978,18904,17622,26724,32270,16484,18708,33678,15240,16978,27590,7370,31592,11356
846.571,15144,15356,12272,14408,18470,19304,30740,21118,9912,18884,17782,26762,32278,16494,18612,33574,15238,16902,27810,7386,31962,11422
848.257,15034,15188,12200,14312,18208,19234,30566,21260,9862,18954,17664,26728,32174,16566,18482,33528,15380,16986,27624,7304,31788,11442
849.944,15080,15304,12288,14400,18296,19496,30688,21122,9902,19096,17796,26814,31842,16462,18604,33696,15410,16884,27886,7298,31716,11440
851.63,15100,15266,12168,14404,18380,19316,30450,21364,9906,18760,17682,26642,32058,16468,18590,33746,15114,16974,27988,7310,31686,11304
853.318,15140,15218,12212,14526,18240,19096,30588,21076,9944,18778,17886,26724,32168,16450,18562,33560,15234,16890,27674,7288,31802,11300
855.004,14976,14962,12136,14286,18310,19514,30812,21166,9838,18818,17706,26816,31950,16552,18754,33820,15214,16822,27816,7252,31494,11294
856.689,14990,15158,12170,14408,18244,19174,30880,21140,9816,18898,17724,26722,32074,16256,18450,33416,15204,16916,27854,7268,31440,11314
858.374,15104,15154,12132,14260,18234,19366,30584,21318,9918,18896,17732,26928,31866,16638,18554,33784,15154,16810,27688,7242,31598,11392
860.058,15112,15202,12110,14290,18278,19242,30802,21120,9836,18810,17650,26796,32020,16534,18702,33462,15194,16978,27666,7258,31462,11294
861.743,15238,15136,12156,14340,18288,19302,30532,21266,9856,19000,17620,26954,31928,16540,18800,33950,15174,16886,27660,7192,31578,11294
863.429,15004,15276,12154,14304,18180,19296,30562,21160,9818,19002,17890,26694,32188,16612,18486,33586,15232,17050,27882,7258,31492,11324
865.112,15186,15236,12192,14130,18396,19360,30766,21224,9868,18994,17840,26846,32092,16450,18472,33520,15244,16954,27684,7236,31478,11224
866.796,15184,15178,12084,14086,18292,19264,30962,21284,9740,18986,17576,26924,32022,16492,18522,33592,15192,16720,27772,7268,31764,11324
868.479,15074,15240,12252,14176,18310,19320,30596,21170,9814,18900,17594,26848,32234,16470,18362,33932,15238,16826,27840,7254,31798,11270
870.161,15030,15218,12058,14166,18432,19364,30612,21170,9762,18968,17640,26970,32122,16652,18650,33796,15328,16958,27650,7316,31860,11294
871.844,15090,15090,12304,14230,18216,19156,30744,21186,9834,18800,17818,26874,32050,16416,18634,33784,15454,16928,27758,7354,31900,11324
873.526,14934,15264,12200,14260,18322,19396,30822,21218,9924,19024,17794,26726,32030,16260,18760,33760,15188,16996,27954,7196,31716,11248
875.208,15086,15150,12110,14164,18262,19374,30706,21278,9760,18848,17816,26988,32336,16462,18706,33702,15242,17120,27806,7192,31504,11320
876.891,15042,15274,12212,14044,18392,19488,30762,21600,9886,18908,17738,26920,32166,16596,18680,33636,15414,17058,27834,7180,31910,11416
878.572,15220,15140,12070,14090,18322,19392,30854,21402,9796,19104,17958,26694,32198,16512,18834,33902,15416,17034,27898,7224,32048,11302
880.253,15166,15168,12234,13938,18446,19514,30800,21292,9992,19026,17720,26996,32298,16686,18776,33930,15344,17020,28156,7312,31966,11308
881.934,15026,15082,12180,14012,18222,19598,31004,21536,9742,19094,17818,27134,32504,16562,18916,34008,15386,17198,28058,7390,31888,11342
883.614,15190,15232,12244,14050,18306,19528,30934,21458,9924,19084,17800,27114,32270,16614,18814,34218,15284,17068,28120,7388,31966,11348
885.294,15158,15206,12334,14108,18434,19534,30736,21504,9982,19266,17730,26888,32314,16596,18946,33850,15514,17084,28022,7380,32084,11326
886.973,15178,15370,12240,13970,18532,19608,31108,21464,9932,19152,17722,26868,32482,16448,18664,34286,15332,16988,28160,7288,32202,11310
888.652,15146,15254,12128,13882,18460,19698,30980,21532,9884,19210,17924,27036,32394,16664,19024,34330,15496,17120,28186,7312,32184,11458
890.331,15308,15186,12328,13834,18494,19644,31000,21702,10092,19318,17930,27338,32508,16792,18960,34124,15508,17162,28330,7304,32180,11290
892.01,15378,15386,12394,13938,18558,19648,31280,21614,9850,19560,17768,27180,32540,16742,18972,34438,15498,17198,28276,7326,32058,11402
893.688,15314,15424,12383,13748,18638,19630,31258,21745,9873,19460,17834,27271,32643,16818,18970,34438,15542,17210,28393,7376,32159,11374
895.366,15250,15462,12372,13776,18718,19612,31236,21876,9896,19360,17900,27362,32746,16894,18968,34438,15586,17222,28510,7426,32260,11346
897.044,15354,15430,12290,13804,18398,19720,31416,21798,9980,19248,18020,27456,32806,16914,19214,34572,15746,17352,28522,7340,32226,11514
898.721,15286,15484,12360,13762,18718,19954,31288,21910,10124,19504,17928,27566,32896,16872,19180,34728,15634,17338,28538,7394,32448,11594
900.398,15366,15358,12292,13856,18776,19924,31514,21900,10102,19512,17950,27480,32742,16800,19158,34566,15614,17346,28626,7376,32466,11428
902.075,15586,15614,12392,13708,18748,19970,31722,21838,10064,19576,18104,27434,33020,16936,19036,34754,15702,17292,28612,7392,32334,11492
903.752,15552,15634,12386,13738,18720,19900,31668,22142,10126,19500,18132,27630,33062,17064,19030,34852,15870,17402,28716,7452,32492,11538
905.428,15426,15732,12484,13694,18896,20076,31592,21966,10030,19614,18062,27692,32848,16866,19170,34800,15782,17662,28630,7436,32642,11444
907.103,15522,15604,12418,13788,18756,19938,31548,22228,10100,19700,18154,27746,32938,16962,19238,35008,15868,17470,28556,7332,32766,11610
908.779,15590,15646,12544,13734,18782,19936,31780,22154,10092,19734,18158,27694,33160,17042,19260,35002,15792,17444,28720,7432,32872,11578
910.454,15492,15572,12586,13634,18864,20120,31846,22218,10138,19618,18084,27848,33256,17138,19356,34896,15788,17572,28830,7380,32720,11594
912.129,15622,15706,12484,13650,18766,19990,31782,22248,10106,19786,18224,27782,33190,17142,19350,34902,15810,17552,29002,7512,32950,11532
913.803,15550,15628,12454,13470,18898,20174,31840,22266,10206,19924,18156,27830,33422,17036,19264,34966,15742,17628,28796,7412,32982,11672
915.478,15714,15680,12460,13586,19048,20180,31850,22246,10038,19864,18226,27970,33300,16956,19126,35224,15766,17684,28688,7482,33096,11574
917.15,15532,15664,12610,13492,19018,20354,32138,22266,10078,19964,18150,27776,33144,17248,19306,35344,15880,17618,29188,7380,32876,11618
918.823,15596,15636,12582,13508,18974,20202,31994,22248,10112,19802,18408,27874,33454,17110,19384,35446,15816,17512,28930,7446,33028,11610
920.497,15664,15864,12554,13520,19026,20210,32046,22448,10176,19946,18122,28142,33506,17258,19344,35170,15892,17710,29218,7468,33068,11610
922.169,15788,15652,12470,13404,18814,20116,31846,22542,10260,19992,18274,27980,33456,17240,19282,35284,15796,17720,29052,7456,33098,11676
923.842,15654,15642,12572,13370,18866,20238,32034,22500,10168,20066,18248,28018,33398,17084,19488,35226,16010,17622,29154,7554,33192,11566
925.515,15538,15630,12360,13312,19070,20126,32138,22414,10176,19836,18288,28018,33610,17140,19388,35496,15912,17724,29138,7490,33240,11574
927.187,15658,15668,12728,13472,19102,20262,32276,22506,10232,19954,18172,28236,33570,17088,19342,35496,15886,17712,29156,7488,33418,11604
928.858,15636,15844,12722,13436,19056,20232,32272,22338,10166,20052,18214,28082,33446,17162,19534,35616,16096,17730,29052,7466,33042,11608
930.53,15676,15638,12582,13358,19128,20188,32300,22658,10212,20024,18168,27986,33624,17086,19264,35418,16080,17670,29218,7506,33408,11634
932.199,15736,15642,12582,13372,18934,20180,32144,22584,10138,20138,18170,28114,33888,17338,19614,35676,16160,17704,29256,7502,33414,11792
933.87,15584,15810,12422,13452,19132,20158,32092,22614,10090,20048,18596,28176,33724,17184,19330,35494,16034,17762,29218,7526,33180,11608
935.54,15662,15844,12570,13458,19094,20204,32468,22730,10244,20220,18224,28310,33630,17358,19440,35364,16090,17820,29194,7510,33204,11740
937.21,15682,15630,12592,13276,19058,20228,32004,22688,10190,20280,18376,28060,33740,17244,19494,35178,16148,17826,29212,7494,33332,11576
938.88,15602,15772,12518,13342,19078,20310,32376,22696,10208,20322,18398,28254,33820,17314,19454,35734,16138,17780,29398,7474,33238,11580
940.55,15822,15798,12496,13336,19128,20316,32054,22678,10166,20246,18378,28246,33872,17358,19478,35766,15962,17880,29160,7408,33344,11662
942.217,15786,15782,12654,13396,19150,20396,32446,22688,10262,20210,18296,28482,33676,17420,19702,35274,16168,17870,29206,7512,33554,11614
943.886,15660,15740,12460,13332,19018,20314,32332,22810,10224,20274,18422,28250,33890,17324,19562,35650,16082,17840,29268,7460,33564,11694
945.554,15742,15800,12406,13276,19042,20558,32212,22876,10228,20386,18394,28320,33896,17218,19512,35792,16096,17784,29286,7544,33598,11446
947.223,15782,15696,12692,13224,19146,20486,32268,22710,10224,20270,18280,28208,33940,17524,19706,35546,16078,17942,29288,7464,33286,11726
948.889,15688,15934,12646,13256,19032,20440,32188,22978,10178,20480,18386,28530,33964,17422,19614,35672,16030,17816,29194,7536,33554,11576
950.556,15892,15724,12528,13180,19208,20548,32318,22882,10132,20330,18468,28348,33758,17548,19522,35686,16068,17902,29408,7590,33504,11682
952.224,15776,15844,12536,13256,19220,20166,32604,23036,10196,20444,18434,28458,34112,17328,19504,35726,16186,17902,29330,7582,33722,11712
953.891,15642,15774,12634,13248,19104,20328,32436,22994,10318,20362,18288,28732,34048,17276,19598,35848,16158,17752,29468,7462,33730,11620
