wave number,-1_1,-1_2,-1_3,-1_4,-1_5,-1_6,-1_7,-1_8,-1_9,-1_10,-1_11,-1_12,-1_13,-1_14,-1_15,-1_16,-1_17,-1_18,-2_1,-2_2,-2_3,-2_4,-2_5,-2_6,-2_7,-2_8,-3_1,-3_2,-3_3,-3_4,-3_5,-3_6,-4_1,-4_2,-4_3,-4_4,-4_5,-4_6,-5_1,-5_2,-5_3,-5_4,-5_5,-6_1,-6_2,-6_3,-6_4,-6_5, 
1026.42,64543.0,64543.0,2607.0,22224.0,23731.0,19037.0,36298.0,59737.5,27370.0,24310.0,57954.5,43012.0,42349.0,11256.0,54418.0,64543.0,64543.0,64543.0,64543.0,64543.0,36341.0,64543.0,13453.0,64543.0,29091.0,13451.0,24023.0,25237.0,50627.0,22060.0,17208.0,42179.0,2328.0,2322.0,2583.0,3109.0,878.0,2941.0,1188.0,957.0,2010.0,998.0,2081.0,723.0,748.0,725.0,566.0,747.0,
1028.08,64543.0,64543.0,2653.0,22089.0,23649.0,19092.0,36371.0,59612.5,27291.0,24219.0,58080.5,42944.0,42127.0,11280.0,54042.0,64543.0,64543.0,64543.0,64543.0,64543.0,36323.0,64543.0,13300.0,64543.0,29112.0,13357.0,24033.0,25224.0,50399.0,21836.0,17110.0,41889.0,2335.0,2338.0,2623.0,3058.0,883.0,2928.0,1165.0,935.0,1966.0,990.0,2059.0,758.0,744.0,721.0,591.0,740.0,
1029.73,64543.0,64543.0,2620.0,22114.0,23817.0,19064.0,36208.0,59642.5,27180.0,24251.0,58208.5,42939.0,42073.0,11172.0,54144.0,64543.0,64543.0,64543.0,64543.0,64543.0,36278.0,64543.0,13315.0,64543.0,28945.0,13382.0,24118.0,25206.0,50437.0,21908.0,17110.0,41790.0,2334.0,2338.0,2612.0,3098.0,871.0,2910.0,1165.0,955.0,1940.0,984.0,2075.0,742.0,729.0,713.0,578.0,745.0,
1031.38,64543.0,64543.0,2645.0,22084.0,23786.0,18983.0,36085.0,59528.5,27187.0,24199.0,58363.5,42854.0,41939.0,11156.0,54243.0,64543.0,64543.0,64543.0,64543.0,64543.0,36300.0,64543.0,13321.0,64543.0,28980.0,13401.0,23876.0,24838.0,50080.0,21938.0,17009.0,41707.0,2275.0,2319.0,2626.0,3065.0,901.0,2920.0,1180.0,917.0,1972.0,994.0,2073.0,714.0,730.0,721.0,586.0,757.0,
1033.03,64543.0,64543.0,2656.0,22015.0,23664.0,19004.0,36129.0,59698.5,27173.0,24259.0,58536.5,42674.0,41821.0,11097.0,54003.0,64543.0,64543.0,64543.0,64543.0,64543.0,36199.0,64543.0,13378.0,64543.0,28802.0,13321.0,23744.0,24917.0,49847.0,21771.0,16965.0,41418.0,2301.0,2289.0,2609.0,3061.0,875.0,2876.0,1176.0,946.0,1944.0,980.0,2066.0,727.0,722.0,679.0,595.0,735.0,
1034.69,64543.0,64543.0,2669.0,22049.0,23700.0,19048.0,36031.0,59602.5,27069.0,24214.0,58710.5,42704.0,41918.0,11145.0,54120.0,64543.0,64543.0,64543.0,64543.0,64543.0,36293.0,64543.0,13255.0,64543.0,28934.0,13346.0,23605.0,24849.0,49808.0,21819.0,16978.0,41284.0,2322.0,2316.0,2567.0,3063.0,851.0,2877.0,1167.0,921.0,1921.0,1003.0,2093.0,742.0,743.0,747.0,591.0,734.0,
1036.34,64543.0,64543.0,2647.0,22075.0,23586.0,19091.0,36151.0,59511.5,27134.0,24295.0,58739.5,42718.0,41972.0,11098.0,53816.0,64543.0,64543.0,64543.0,64543.0,64543.0,36346.0,64543.0,13408.0,64543.0,28934.0,13388.0,23851.0,24835.0,49887.0,21664.0,16834.0,41306.0,2269.0,2260.0,2580.0,3058.0,854.0,2889.0,1154.0,925.0,1940.0,1013.0,2079.0,737.0,753.0,725.0,597.0,727.0,
1037.99,64543.0,64543.0,2653.0,22050.0,23667.0,19027.0,36028.0,59751.5,27239.0,24232.0,58866.5,42697.0,41925.0,11097.0,53863.0,64543.0,64543.0,64543.0,64543.0,64543.0,36036.0,64543.0,13309.0,64543.0,28940.0,13270.0,23614.0,24759.0,49678.0,21588.0,16812.0,41027.0,2271.0,2312.0,2561.0,3054.0,864.0,2848.0,1203.0,921.0,1950.0,995.0,2040.0,737.0,742.0,716.0,594.0,760.0,
1039.64,64543.0,64543.0,2694.0,22180.0,23774.0,19092.0,36072.0,59515.5,27070.0,24296.0,58931.5,42682.0,41907.0,11159.0,54029.0,64543.0,64543.0,64543.0,64543.0,64543.0,36344.0,64543.0,13310.0,64543.0,28829.0,13316.0,23690.0,24816.0,49682.0,21564.0,16780.0,41120.0,2302.0,2309.0,2600.0,3105.0,893.0,2882.0,1163.0,929.0,1949.0,990.0,2116.0,731.0,770.0,723.0,588.0,759.0,
1041.29,64543.0,64543.0,2635.0,22117.0,23725.0,19167.0,36305.0,59454.5,27171.0,24338.0,59045.5,42703.0,41921.0,11102.0,54058.0,64543.0,64543.0,64543.0,64543.0,64543.0,36362.0,64543.0,13255.0,64543.0,28992.0,13377.0,23672.0,24637.0,49693.0,21420.0,16692.0,40935.0,2311.0,2290.0,2596.0,3056.0,860.0,2851.0,1206.0,919.0,1923.0,961.0,2101.0,735.0,771.0,738.0,588.0,737.0,
