wave number,-1_1,-1_2,-1_3,-2_1,-2_2,-2_3,-3_1,-3_2,-4_1,-4_2,-5_1,-5_2,-6_1,-6_2,-6_3,-6_4,-6_5,-6_6,-7_1,-7_2,-7_3,-7_4,-7_5
1893.508179,8284.7305,13460.8799,10347.4795,8989.9854,7487.9058,8066.2461,6501.5132,5267.7197,2022.5859,2695.7102,2981.6677,3166.4153,3209.791,1375.1656,1494.0469,1922.9828,2907.7686,2327.8213,2657.1543,2925.4402,3092.5164,3253.1665,4560.8589
1891.951538,8421.5928,13482.9014,10233.4482,9025.5449,7419.29,8150.1357,6265.9995,5299.0342,2060.8247,2634.2576,2957.1147,3209.2966,3267.1218,1402.2603,1501.848,1991.7557,2851.1021,2280.8816,2618.1951,2989.2397,3084.0088,3210.9031,4418.8066
1890.394897,8357.6582,13581.998,10405.3174,8922.9727,7554.6553,8123.1816,6306.7881,5288.5801,2017.1444,2656.335,2982.3542,3271.4355,3171.863,1411.6798,1483.9502,1864.5737,2816.9358,2320.6797,2633.8508,3065.8667,3109.229,3239.3154,4508.0605
1888.838257,8264.8369,13398.4453,10347.5049,8884.6592,7540.6396,8059.2998,6585.2139,5366.4434,2124.418,2675.1929,3033.2769,3150.4973,3221.1506,1379.3462,1485.3262,1909.2463,2819.7112,2320.3203,2604.5396,2988.3157,3131.2283,3290.1982,4475.2476
1887.279663,8295.6641,13555.3115,10175.7148,8820.665,7510.5703,8041.9937,6430.063,5349.5557,2100.0056,2666.7502,3027.9897,3188.5405,3241.5222,1367.8936,1505.9673,1923.3995,2877.0718,2316.7493,2576.8416,3068.1274,3103.4485,3225.4673,4376.6172
1885.723022,8098.5317,13386.2549,10294.5254,9008.7139,7626.5854,8092.1104,6416.2202,5311.8018,2088.4419,2701.6509,2995.4133,3168.7812,3293.9915,1353.2333,1553.8907,1929.5212,2849.3347,2332.4414,2708.0718,2995.4133,3122.2288,3218.5442,4462.6201
1884.166382,8305.9189,13472.4414,10273.6592,8984.8379,7538.7251,8177.5186,6479.4194,5407.2734,2097.7461,2701.2292,2998.156,3240.5122,3184.3369,1369.0723,1463.7677,1922.8002,2876.1753,2299.9773,2630.6089,3081.6162,3023.8359,3160.2617,4449.0835
1882.607788,8272.5244,13590.6904,10416.4805,9089.3457,7527.917,8200.3105,6398.168,5367.9136,2121.4893,2670.3164,3060.2725,3134.0913,3180.6292,1392.9294,1481.191,1896.8232,2886.9585,2232.2175,2618.9641,3045.8296,3074.7151,3260.8669,4575.1636
1881.049194,8304.9219,13360.7188,10357.084,9095.9424,7558.8262,8150.8892,6511.084,5397.5571,2071.4167,2793.4443,3027.7021,3228.2654,3337.3718,1367.0388,1540.3254,1902.9437,2844.7886,2265.562,2544.7461,2973.1492,3040.5383,3189.7573,4452.5034
1879.490601,8322.8662,13461.29,10477.3789,9003.0703,7589.7227,8191.3179,6420.2222,5430.3975,2075.9038,2791.4009,3078.5623,3237.3833,3208.5068,1371.6366,1451.8492,1891.4147,2829.9028,2327.7717,2592.4734,2914.9285,3004.7666,3219.7366,4305.8159
1877.932007,8337.5947,13324.4316,10438.835,9096.2861,7612.5859,8113.0342,6443.2695,5411.8975,2112.4685,2677.0767,3068.4529,3147.0488,3329.905,1334.5283,1515.7804,1963.2965,2904.8447,2345.0486,2691.5127,2991.4609,3028.3528,3174.3169,4484.7852
